No.,Date,Time,P.Time,AV Pyrometer,AV TC1,AV PTC top,AV PTC bot.,AV Force,AV Speed,AV Abs. Piston T,AV Rel. Piston T,AV Press. Abs. 1,AV Press. Abs. 2,AV Press. Rel.,I RMS,U RMS,AV Heating Power,AV CZ Output,SV Temperature  ,SV Jump to Pyro ,SV Max. Temp TC ,SV Force        ,SV Put on Force ,SV Max. Piston t,SV Rel. Pressure,SV Start Vacuum ,SV Open V1      ,SV Pulse Time   ,SV Pause Time   ,SV Pulses Per Bu,SV Pause Between,SV Power limit  
,,,,°C,°C,°C,°C,kN,mm/min,mm,mm,hPa,hPa,hPa,kA,V,kW,%,°C    ,°C    ,°C    ,kN    ,kN    ,mm    ,hPa   ,hPa   ,hPa   ,ms    ,ms    ,,ms    ,%     
220,02/10/2012,14:28:48,00:03:39,400,31,94,78,4.8,0.080,16.910,-0.440,0.00,0.00,-634.92,3.65,5.23,19.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
221,02/10/2012,14:28:49,00:03:40,400,31,94,79,5.0,0.000,16.910,-0.440,0.00,0.00,-634.92,3.65,5.23,19.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
222,02/10/2012,14:28:50,00:03:41,400,32,94,79,4.8,0.000,16.910,-0.440,0.00,0.00,-634.92,3.65,5.23,19.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
223,02/10/2012,14:28:51,00:03:42,400,32,94,79,5.2,0.000,16.900,-0.450,0.00,0.00,-634.92,3.66,5.23,19.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
224,02/10/2012,14:28:52,00:03:43,401,32,94,79,4.9,0.000,16.900,-0.450,0.00,0.00,-634.92,3.66,5.23,19.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
225,02/10/2012,14:28:53,00:03:44,404,32,95,79,4.9,0.000,16.900,-0.450,0.00,0.00,-634.92,3.67,5.23,19.2,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
226,02/10/2012,14:28:54,00:03:45,405,32,95,80,5.7,0.000,16.900,-0.450,0.00,0.00,-634.92,3.67,5.24,19.2,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
227,02/10/2012,14:28:55,00:03:46,406,32,95,80,5.6,0.000,16.900,-0.450,0.00,0.00,-634.92,3.68,5.23,19.2,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
228,02/10/2012,14:28:56,00:03:47,408,32,96,80,5.6,0.000,16.890,-0.460,0.00,0.00,-634.92,3.68,5.23,19.2,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
229,02/10/2012,14:28:57,00:03:48,409,32,96,80,5.8,0.000,16.890,-0.460,0.00,0.00,-634.92,3.68,5.23,19.2,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
230,02/10/2012,14:28:58,00:03:49,411,33,96,80,5.5,0.000,16.890,-0.460,0.00,0.00,-634.92,3.68,5.22,19.2,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
231,02/10/2012,14:28:59,00:03:50,413,33,96,80,5.0,0.000,16.890,-0.460,0.00,0.00,-634.92,3.69,5.23,19.3,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
232,02/10/2012,14:29:00,00:03:51,414,33,97,80,5.6,0.000,16.890,-0.460,0.00,0.00,-634.92,3.69,5.23,19.3,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
233,02/10/2012,14:29:01,00:03:52,416,33,97,80,4.8,0.000,16.890,-0.460,0.00,0.00,-634.92,3.69,5.22,19.3,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
